id	artist	title	date	collection
prometheus-chained-vulcan	Baburen, Dirck van	Prometheus chained by Vulcan	1623	Rijksmuseum
aeneas-anchises-troy	Suavius, Lambert	Aeneas rescues his father Anchises from the burning Troy	1550	Centraal Museum
abduction-amphitrite	Terwesten, Mattheus	Abduction of Amphitrite by Poseidon	1685 - 1757	
wedding-peleus-thetis	Cornelisz. van Haarlem, Cornelis	The wedding of Peleus and Thetis	1592-1593	
apollo-pan-midas		The Competition of Apollo and Pan and the judgment of Midas	c. 1620	
marriage-cupid-psyche		Marriage of Cupid and Psyche	19th century	
triumph-bacchus	Mont, Deodat van der	The triumph of Bacchus	first half 17th century	
apollo-vulcan-forge	Maes, Godfried (II)	Apollo in Vulcan's forge revealing Venus' love-affair with Mars	1664 - 1700	
triumph-mars	Nieulandt, Guilliam van (II)	The triumph of Mars: an Allegory of War	1627 (dated)	
nausicaa-ulysses	Lastman, Pieter	The meeting of Nausicaa and Ulysses	dated 1619	
meeting-dido-aeneas	Coignet, Michiel (II)	The meeting of Dido and Aeneas	1648 (dated)	
sacrifice-iphigenia	Wet, Jacob de (I)	The sacrifice of Iphigenia	1635 - 1672	
athena-pegasus	Thulden, Theodoor van	The goddess Pallas Athena and the horse Pegasus	1644 (dated)	
dido-sacrifice-juno	Romanelli, Giovanni Francesco	Dido's sacrifice to Juno	1655	
sacrifice-venus-temple	Rubens, Peter Paul	Sacrifice to Venus in a temple	c. 1630	
finding-moses				
abraham-isaac				
potiphar-wife	Bilivert, Giovanni	Josephs Keuschheit		Galleria Nazionale d'arte Antica
balaam-ass	Lastman, Pieter	Balaam and his ass	dated 1622	
isaac-blesses-jacob	Horst, Gerrit Willemsz.	Isaac blessing Jacob	1638	
samson-pillars	Rubens, Peter Paul [manner of/after]	Samson breaks the pillars; the temple of Dagon collapses, killing all that are in it (Judges 16:29-31)	first half 17th century	
drunkenness-noah	Floris, Frans (I) [circle of]	The drunkenness of Noah	c. 1550-1574	
feast-esther	Cortona, Pietro da	Feast of Esther.	1622-1678	
belshazzar-feast				
bathsheba-letter	Rubens, Peter Paul [free after]	Bathsheba receives a letter from David (2 Samuel 11:4)	after 1635	
gathering-manna	Bramantino	The Gathering of Manna.	1503-1506	
hagar-ishmael	Cortona, Pietro da	Hagar, Ishmael and the Angel in the Wilderness.	1637 - 1638	
prodigal-son-brothel	Bredael, Peeter van	The Prodigal Son is being chased from the brotherl after spending all his money (Luke 15:13)	after 1658	
jephtha-daughter	Francken, Hieronymus (III)	Jephtha welcomed by his daughter (Judges 11:29-40)	1626 - 1661	
judah-tamar	Hemessen, Jan Sanders van	Judah's love-affair with Tamar; he gives her his signet-ring (Genesis 38:18)	second or third quarter 16th century	
diana-actaeon	Titian	Diana and Actaeon.	1559	
jupiter-mercury	Dossi, Dosso	Jupiter and Mercury.	1499-1542	
judgement-midas	Cima da Conegliano, Giovanni Battista	The Judgement of Midas.	1459-1518	
embassy-hippolyta	Carpaccio, Vittore	The Embassy of Hippolyta, Queen of the Amazons, to Theseus, King of Athens.	1475-1525	
jason-dragon	Roberti, Ercole de'	Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon.	1460-1496	
circe-sorceress	Vassallo, Anton Maria	The Sorceress Circe.	1577-1657	
apollo-muses	Tintoretto	Apollo and the Muses.	1532-1594	
rape-deianira	Pollaiolo, Antonio	The Rape of Deianira.	1473	
taking-athens-minos	Master of the Campana Cassoni	The Taking of Athens by Minos.	1515-1519	
flood-deucalion	Carpioni, Giulio	A Scene from Greek Mythology: The Flood of the Age of Deucalion.	1633-1678	
abduction-helen	Campana, Giacinto	The Abduction of Helen.	1600-1650	
lot-daughters	Guercino	Lot and His Daughters.	1611-1666	
joseph-cup-dream	Carlone, Giovanni Battista	Two Scenes in the Life of Joseph: "The Discovery of Joseph's Cup in Benjamin's Sack" and "Joseph Interpreting Pharaoh's Dream".	1612-1677	
abraham-melchizedek	Bleker, Gerrit Claesz	Abraham Meeting Melchizedek.	1625-1656	
abigail-david	Cornelisz van Oostsanen, Jacob	Abigail in Supplication before David.	1453-1533	
saul-witch-endor	Cornelisz van Oostsanen, Jacob	Saul Coming to Consult the Witch of Endor.	1500	
naaman-syrian	Engelbrechtszoon, Cornelis	The Story of the Syrian Captain Naaman.	1488-1533	
abram-lot-divide	Zanchi, Antonio	Abram and Iot Dividing up the World between Them.	1651-1722	
jeremiah-baruch	Allston, Washington	Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe.	1799-1843	
sennacherib-angel	Tanzio da Varallo	The Forces of Sennacherib put to Rout by the Angel.	1574-1635	
moses-crown-pharaoh	Tiepolo, Giovanni Battista	The Child Moses Trampling on the Crown of the Pharoahs.	1716-1770	
sacrifice-jephthah	Mazzoni, Sebastiano	Sacrifice of Jephthah.	1631-1678	
judgement-solomon	Cresti, Domenico	Judgement of Solomon.	1578-1638	
tobit-tobias	Preti, Mattia	Tobit Blessing Tobias.	1633-1699	
jacob-esau-reconcile	Cortona, Pietro da	Reconciliation of Jacob and Esau.	1616-1669	
elisha-shunem-woman	Mola, Pier Francesco	The Prophet Elisha and the Rich Woman of Shunem.	1648-1650	
richelieu-la-rochelle	Motte, Henri-Paul	Cardinal Richelieu at the Siege of La Rochelle	1881	Musée d'Orbigny-Bernon, La Rochelle
vercingetorix-caesar	Motte, Henri-Paul	Vercingetorix throws down his arms at the feet of Julius Caesar	1886	Musée Crozatier, Le Puy-en-Velay
alexander-roxane-marriage	Il Sodoma (Bazzi, Giovanni Antonio)	The Marriage of Alexander and Roxane	1517-1519	Villa Farnesina, Rome
beccafumi-codrus-sacrifice	Beccafumi, Domenico	The Sacrifice of King Codrus of Athens	1529-1535	Palazzo Pubblico, Siena
david-napoleon-coronation	David, Jacques-Louis	The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine	1805-1807	Musée du Louvre
raft-of-the-medusa	Géricault, Théodore	The Raft of the Medusa	1818-1819	Musée du Louvre
charlotte-corday-arrest	Scheffer, Henri	The Arrest of Charlotte Corday	1830	Musée des Beaux-Arts, Grenoble
sacred-geese-of-rome	Motte, Henri-Paul	The Sacred Geese of Rome	1889	
phaedra-cabanel	Cabanel, Alexandre	Phaedra	1880	Musée Fabre, Montpellier
francesca-da-rimini-death	Cabanel, Alexandre	Death of Francesca da Rimini and of Paolo Malatesta	1870	Musée d'Orsay
lady-godiva-lefebvre	Lefebvre, Jules Joseph	Lady Godiva	1891	Musée de Picardie, Amiens
rejtan-fall-of-poland	Matejko, Jan	Rejtan (The Fall of Poland)	1866	Royal Castle, Warsaw
morozova-arrest	Surikov, Vasily	Arrest of the Old Believer noblewoman Feodosia Morozova (Boyarynya Morozova)	1887	Tretyakov Gallery, Moscow
napoleon-jaffa-pesthouse	Gros, Antoine-Jean	Bonaparte Visiting the Pesthouse in Jaffa	1804	Musée du Louvre
death-of-general-wolfe	West, Benjamin	Death of General Wolfe at the Battle of Quebec	1770	National Gallery of Canada
